date,station_id,scene_id,ndti,ndti_std,ndwi,mndwi,red_green_ratio,red,green,nir,swir16,water_pixel_count,window_pixels,cloud_fraction,tile_cloud_cover,quality,quality_score
2018-11-28,P01,S2A_30NXM_20181128_0_L2A,0.044872,0.04592,0.036012,0.358974,1.110092,0.1573,0.1417,0.1316,0.06265,236,748,0.6845,25.833,ACCEPTABLE,0.92
2018-12-03,P01,S2B_30NXM_20181203_0_L2A,0.106527,0.045319,-0.073776,0.504087,1.229527,0.2132,0.1734,0.2091,0.0508,698,748,0.0668,14.328,GOOD,1.0
2018-12-18,P01,S2A_30NXM_20181218_0_L2A,0.067693,0.034932,-0.055886,0.518976,1.13228,0.1361,0.1202,0.12835,0.041,286,748,0.6176,29.326,ACCEPTABLE,0.92
2018-12-23,P01,S2B_30NXM_20181223_0_L2A,-0.011195,0.014341,-0.159985,-0.02399,0.997028,0.2348,0.2355,0.3255,0.24545,48,748,0.9358,22.019,LOW_QUALITY,0.64
2018-12-28,P01,S2A_30NXM_20181228_0_L2A,-0.015472,0.012984,-0.28177,-0.08022,0.972603,0.142,0.146,0.2648,0.1704,86,748,0.885,1.864,LOW_QUALITY,0.64
2019-01-02,P01,S2B_30NXM_20190102_0_L2A,0.048939,0.039952,-0.135482,0.200066,1.104319,0.1969,0.1783,0.2487,0.1043,650,748,0.131,21.898,GOOD,1.0
2019-01-17,P01,S2A_30NXM_20190117_0_L2A,0.057028,0.027804,-0.10351,0.131166,1.14378,0.1416,0.1238,0.1473,0.0905,506,748,0.3235,23.241,GOOD,1.0
2019-01-22,P01,S2B_30NXM_20190122_0_L2A,0.109208,0.046473,-0.148645,0.327732,1.242857,0.2175,0.175,0.2442,0.0871,748,748,0.0,10.95,GOOD,1.0
2019-01-27,P01,S2A_30NXM_20190127_0_L2A,0.071881,0.031312,-0.117118,0.316409,1.136488,0.1249,0.1099,0.1544,0.0551,370,748,0.5053,45.116,ACCEPTABLE,0.92
2019-02-01,P01,S2B_30NXM_20190201_0_L2A,-0.002062,0.027219,0.042253,0.262924,0.996592,0.1462,0.1467,0.13275,0.0788,306,748,0.5909,42.377,ACCEPTABLE,0.92
2019-02-11,P01,S2B_30NXM_20190211_0_L2A,0.028623,0.045915,-0.172119,-0.138813,1.071429,0.192,0.1792,0.32965,0.2165,50,748,0.9332,15.951,LOW_QUALITY,0.64
2019-02-16,P01,S2A_30NXM_20190216_0_L2A,0.019877,0.017611,-0.135053,0.143779,1.045391,0.1497,0.1432,0.1874,0.1071,126,748,0.8316,21.628,ACCEPTABLE,0.72
2019-02-21,P01,S2B_30NXM_20190221_0_L2A,0.090434,0.034914,-0.106997,0.285951,1.211604,0.213,0.1758,0.2219,0.0862,748,748,0.0,12.045,GOOD,1.0
2019-02-26,P01,S2A_30NXM_20190226_0_L2A,0.068264,0.032797,-0.188665,0.122771,1.149842,0.2187,0.1902,0.2745,0.1481,536,748,0.2834,1.865,GOOD,1.0
2019-03-03,P01,S2B_30NXM_20190303_0_L2A,0.050146,0.021826,-0.066081,0.138508,1.119743,0.1571,0.1403,0.1623,0.10845,56,748,0.9251,49.461,LOW_QUALITY,0.64
2019-03-08,P01,S2A_30NXM_20190308_0_L2A,0.030225,0.02691,-0.050019,0.160904,1.065868,0.1246,0.1169,0.1316,0.0816,438,748,0.4144,29.403,GOOD,1.0
2019-03-13,P01,S2B_30NXM_20190313_0_L2A,0.014787,0.041139,-0.221895,-0.002093,1.085989,0.1465,0.1349,0.1922,0.1306,286,748,0.6176,19.728,ACCEPTABLE,0.92
2019-03-18,P01,S2A_30NXM_20190318_0_L2A,0.109989,0.037363,-0.143141,0.320592,1.255913,0.2655,0.2114,0.2866,0.0947,748,748,0.0,35.554,GOOD,1.0
2019-03-28,P01,S2A_30NXM_20190328_1_L2A,0.102402,0.01634,-0.072015,0.453448,1.226191,0.2884,0.2352,0.2728,0.0875,312,748,0.5829,53.558,ACCEPTABLE,0.92
2019-04-02,P01,S2B_30NXM_20190402_1_L2A,0.081251,0.037931,-0.093508,0.286276,1.147488,0.2513,0.219,0.2696,0.10765,748,748,0.0,12.862,GOOD,1.0
2019-04-12,P01,S2B_30NXM_20190412_1_L2A,-0.020346,0.010048,-0.159329,0.258361,0.944087,0.2938,0.3112,0.431,0.18715,308,748,0.5882,66.843,ACCEPTABLE,0.92
2019-04-22,P01,S2B_30NXM_20190422_0_L2A,0.007727,0.020714,-0.172383,-0.005036,1.032529,0.1841,0.1783,0.2743,0.17235,16,748,0.9786,21.006,LOW_QUALITY,0.49
2019-04-27,P01,S2A_30NXM_20190427_1_L2A,0.093841,0.017542,-0.042425,0.499555,1.213529,0.2978,0.2454,0.26965,0.0817,548,748,0.2674,43.677,GOOD,1.0
2019-05-02,P01,S2B_30NXM_20190502_0_L2A,0.10454,0.046514,-0.038897,0.568818,1.235485,0.266,0.2153,0.23755,0.05295,676,748,0.0963,32.325,GOOD,1.0
2019-05-07,P01,S2A_30NXM_20190507_0_L2A,0.017442,0.047167,-0.195868,-0.095388,1.098385,0.1496,0.1362,0.2212,0.16025,72,748,0.9037,56.192,LOW_QUALITY,0.64
2019-05-12,P01,S2B_30NXM_20190512_1_L2A,0.072421,0.033271,-0.084037,0.267595,1.119484,0.2689,0.2402,0.2956,0.1334,626,748,0.1631,63.819,GOOD,1.0
2019-05-17,P01,S2A_30NXM_20190517_1_L2A,0.123018,0.031031,0.006725,0.678992,1.285657,0.32,0.2489,0.2474,0.04095,744,748,0.0053,56.971,GOOD,1.0
2019-06-21,P01,S2B_30NXM_20190621_0_L2A,-0.015927,0.026257,-0.157856,-0.033569,0.971676,0.247,0.2542,0.3943,0.2878,158,748,0.7888,75.937,ACCEPTABLE,0.92
2019-08-30,P01,S2B_30NXM_20190830_0_L2A,0.030642,0.039874,-0.098821,0.327397,1.061316,0.2354,0.2218,0.2786,0.11055,604,748,0.1925,82.245,GOOD,1.0
2019-10-09,P01,S2B_30NXM_20191009_0_L2A,-0.035098,0.017929,-0.093389,0.086333,0.936328,0.2397,0.256,0.3107,0.2145,222,748,0.7032,82.914,ACCEPTABLE,0.92
2019-10-24,P01,S2A_30NXM_20191024_0_L2A,0.100262,0.047444,0.043674,0.556904,1.133987,0.2082,0.1836,0.1746,0.05025,324,748,0.5668,45.568,ACCEPTABLE,0.92
2019-11-03,P01,S2A_30NXM_20191103_0_L2A,-0.055349,0.049967,-0.214683,-0.028358,0.913924,0.1444,0.158,0.2439,0.1624,60,748,0.9198,81.504,LOW_QUALITY,0.64
2019-11-08,P01,S2B_30NXM_20191108_0_L2A,0.042328,0.059733,-0.05144,0.247209,1.03898,0.1466,0.1411,0.17465,0.0823,670,748,0.1043,44.138,GOOD,1.0
2019-11-13,P01,S2A_30NXM_20191113_0_L2A,0.069477,0.037812,0.012047,0.266998,1.152155,0.131,0.1137,0.11975,0.0652,286,748,0.6176,27.777,ACCEPTABLE,0.92
2019-11-18,P01,S2B_30NXM_20191118_0_L2A,0.105679,0.063914,-0.055982,0.379781,1.211433,0.1547,0.1277,0.2345,0.0715,222,748,0.7032,29.334,ACCEPTABLE,0.8
2019-11-23,P01,S2A_30NXM_20191123_0_L2A,-0.009591,0.036992,-0.149315,0.13459,0.986557,0.1321,0.1339,0.1819,0.11085,56,748,0.9251,26.743,LOW_QUALITY,0.64
2019-11-28,P01,S2B_30NXM_20191128_1_L2A,0.119361,0.035409,-0.024505,0.657865,1.272246,0.2645,0.2079,0.22445,0.0375,634,748,0.1524,40.466,GOOD,1.0
2019-12-03,P01,S2A_30NXM_20191203_0_L2A,-0.043816,0.054604,-0.193812,0.052168,0.896308,0.1141,0.1273,0.1942,0.11445,120,748,0.8396,26.82,ACCEPTABLE,0.72
2019-12-08,P01,S2B_30NXM_20191208_1_L2A,0.116164,0.032068,-0.080998,0.577659,1.265649,0.2487,0.1965,0.2364,0.0498,748,748,0.0,32.508,GOOD,1.0
2019-12-13,P01,S2A_30NXM_20191213_0_L2A,0.087754,0.047036,-0.111875,0.380521,1.174866,0.2627,0.2236,0.27745,0.0949,416,748,0.4439,26.841,GOOD,1.0
2019-12-18,P01,S2B_30NXM_20191218_0_L2A,0.098161,0.045441,-0.104911,0.447887,1.25827,0.1978,0.1572,0.2139,0.0545,702,748,0.0615,23.951,GOOD,1.0
2019-12-23,P01,S2A_30NXM_20191223_1_L2A,0.105954,0.044351,-0.127885,0.494491,1.186015,0.2646,0.2231,0.2938,0.06685,708,748,0.0535,26.067,GOOD,1.0
2019-12-28,P01,S2B_30NXM_20191228_1_L2A,0.108657,0.03512,-0.168956,0.377902,1.208502,0.2388,0.1976,0.2815,0.0844,748,748,0.0,17.516,GOOD,1.0
2020-01-02,P01,S2A_30NXM_20200102_1_L2A,0.119276,0.026054,-0.153328,0.460357,1.272629,0.2348,0.1845,0.25305,0.0668,596,748,0.2032,10.595,GOOD,1.0
2020-01-07,P01,S2B_30NXM_20200107_1_L2A,0.126429,0.01977,-0.274065,0.032657,1.288875,0.2039,0.1582,0.2854,0.1451,748,748,0.0,0.017,GOOD,1.0
2020-01-12,P01,S2A_30NXM_20200112_1_L2A,0.116737,0.0164,-0.167746,0.277026,1.260513,0.2308,0.1831,0.2631,0.1023,748,748,0.0,3.084,GOOD,1.0
2020-01-17,P01,S2B_30NXM_20200117_0_L2A,0.034815,0.029213,-0.068121,0.170424,1.068843,0.1506,0.1409,0.16335,0.1045,382,748,0.4893,22.284,GOOD,1.0
2020-01-22,P01,S2A_30NXM_20200122_1_L2A,0.129802,0.022395,-0.211492,0.031561,1.302656,0.2109,0.1619,0.2636,0.1551,598,748,0.2005,17.126,GOOD,1.0
2020-01-27,P01,S2B_30NXM_20200127_1_L2A,0.222499,0.028628,-0.322409,0.084847,1.575568,0.2012,0.1277,0.25445,0.10645,748,748,0.0,0.911,GOOD,1.0
2020-02-01,P01,S2A_30NXM_20200201_0_L2A,-0.004655,0.021765,0.071018,0.309091,0.992476,0.1319,0.1329,0.1175,0.07145,244,748,0.6738,31.203,ACCEPTABLE,0.92
2020-02-06,P01,S2B_30NXM_20200206_1_L2A,0.085422,0.033282,-0.120614,0.27365,1.16763,0.1616,0.1384,0.17405,0.0801,632,748,0.1551,32.41,GOOD,1.0
2020-02-11,P01,S2A_30NXM_20200211_1_L2A,0.01207,0.014324,-0.137615,0.126087,1.027883,0.2175,0.2116,0.2819,0.1627,230,748,0.6925,71.283,ACCEPTABLE,0.92
2020-02-16,P01,S2B_30NXM_20200216_1_L2A,0.053255,0.029828,-0.195617,0.189219,1.119138,0.2076,0.1855,0.2895,0.1286,76,748,0.8984,36.527,LOW_QUALITY,0.64
2020-02-21,P01,S2A_30NXM_20200221_1_L2A,0.052433,0.018375,-0.180154,0.15589,1.101181,0.2144,0.1947,0.2865,0.1393,140,748,0.8128,53.336,ACCEPTABLE,0.72
2020-03-02,P01,S2A_30NXM_20200302_0_L2A,0.049554,0.028255,-0.135737,0.104489,1.134081,0.2326,0.2051,0.2643,0.1448,692,748,0.0749,40.453,GOOD,1.0
2020-03-07,P01,S2B_30NXM_20200307_0_L2A,0.004929,0.030294,-0.16067,0.018607,1.024665,0.1454,0.1419,0.203,0.1318,42,748,0.9439,75.328,LOW_QUALITY,0.64
2020-03-12,P01,S2A_30NXM_20200312_0_L2A,0.015765,0.043268,-0.174816,-0.062682,1.042445,0.2677,0.2568,0.37275,0.2607,218,748,0.7086,44.609,ACCEPTABLE,0.92
2020-05-06,P01,S2B_30NXM_20200506_0_L2A,0.077505,0.048276,-0.118937,0.389537,1.168029,0.2857,0.2446,0.3238,0.1046,532,748,0.2888,55.2,GOOD,1.0
2020-05-16,P01,S2B_30NXM_20200516_1_L2A,0.116697,0.038166,-0.065562,0.625966,1.247278,0.3208,0.2572,0.302,0.05675,748,748,0.0,59.981,GOOD,1.0
2020-05-21,P01,S2A_30NXM_20200521_0_L2A,0.020865,0.021521,-0.186623,0.136766,1.037402,0.1581,0.1524,0.2132,0.11285,32,748,0.9572,59.545,LOW_QUALITY,0.49
2020-05-26,P01,S2B_30NXM_20200526_0_L2A,0.114722,0.044954,-0.070764,0.620318,1.273103,0.2769,0.2175,0.2613,0.0476,692,748,0.0749,17.89,GOOD,1.0
2020-05-31,P01,S2A_30NXM_20200531_1_L2A,0.124321,0.027285,-0.091194,0.470307,1.297175,0.2296,0.177,0.2154,0.0664,748,748,0.0,33.096,GOOD,1.0
2020-06-10,P01,S2A_30NXM_20200610_0_L2A,0.044064,0.037363,0.024051,0.409216,1.063526,0.149,0.1401,0.1501,0.05,234,748,0.6872,59.309,ACCEPTABLE,0.92
2020-06-15,P01,S2B_30NXM_20200615_0_L2A,0.036065,0.042717,-0.042541,0.381387,1.057443,0.1307,0.1236,0.1388,0.0524,416,748,0.4439,66.891,GOOD,1.0
2020-06-25,P01,S2B_30NXM_20200625_1_L2A,0.031385,0.040457,-0.136576,0.143663,1.074823,0.2126,0.1978,0.2859,0.1365,100,748,0.8663,74.596,LOW_QUALITY,0.64
2020-08-04,P01,S2B_30NXM_20200804_1_L2A,0.133044,0.033918,-0.109932,0.633433,1.31085,0.2682,0.2046,0.25755,0.0445,748,748,0.0,25.874,GOOD,1.0
2020-08-09,P01,S2A_30NXM_20200809_1_L2A,0.015301,0.027985,-0.153323,0.279877,1.026651,0.1695,0.1651,0.2253,0.0904,14,748,0.9813,63.929,LOW_QUALITY,0.49
2020-08-19,P01,S2A_30NXM_20200819_1_L2A,0.11782,0.028617,-0.103634,0.548285,1.295455,0.285,0.22,0.2758,0.06505,748,748,0.0,66.064,GOOD,1.0
2020-08-24,P01,S2B_30NXM_20200824_1_L2A,0.08731,0.01349,-0.124063,0.389339,1.193684,0.3704,0.3103,0.4016,0.1369,16,748,0.9786,67.923,LOW_QUALITY,0.49
2020-10-03,P01,S2B_30NXM_20201003_0_L2A,-0.013882,0.051838,-0.075869,0.270746,0.989182,0.1463,0.1479,0.186,0.087,80,748,0.893,96.4,LOW_QUALITY,0.64
2020-10-08,P01,S2A_30NXM_20201008_0_L2A,0.018786,0.043181,-0.216412,0.038404,1.020384,0.1702,0.1668,0.2559,0.1456,26,748,0.9652,72.28,LOW_QUALITY,0.49
2020-10-18,P01,S2A_30NXM_20201018_0_L2A,0.004442,0.039453,-0.187827,-0.014597,1.018244,0.1786,0.1754,0.2575,0.1678,118,748,0.8422,58.998,ACCEPTABLE,0.72
2020-10-23,P01,S2B_30NXM_20201023_0_L2A,0.020701,0.046873,-0.202726,0.065287,1.024,0.2688,0.2625,0.3937,0.22635,252,748,0.6631,63.601,ACCEPTABLE,0.92
2020-10-28,P01,S2A_30NXM_20201028_0_L2A,0.070683,0.035531,-0.127853,0.350626,1.121504,0.2326,0.2074,0.2842,0.1015,704,748,0.0588,53.5,GOOD,1.0
2020-11-02,P01,S2B_30NXM_20201102_1_L2A,0.095076,0.025833,-0.075671,0.484242,1.209866,0.2894,0.2392,0.2854,0.0813,748,748,0.0,68.227,GOOD,1.0
2020-11-12,P01,S2B_30NXM_20201112_0_L2A,0.039155,0.049727,-0.126088,0.202047,1.040211,0.1578,0.1517,0.2214,0.0844,432,748,0.4225,36.665,GOOD,1.0
2020-11-17,P01,S2A_30NXM_20201117_0_L2A,0.078033,0.038217,-0.168172,0.335098,1.156654,0.2503,0.2164,0.3086,0.0983,610,748,0.1845,39.189,GOOD,1.0
2020-12-07,P01,S2A_30NXM_20201207_0_L2A,0.10452,0.04777,-0.095717,0.573319,1.25782,0.2654,0.211,0.27075,0.0539,382,748,0.4893,43.301,GOOD,1.0
2020-12-12,P01,S2B_30NXM_20201212_1_L2A,0.131766,0.038941,-0.108798,0.616108,1.319335,0.3016,0.2286,0.29225,0.0549,712,748,0.0481,61.521,GOOD,1.0
2020-12-22,P01,S2B_30NXM_20201222_0_L2A,0.005259,0.045759,-0.203182,0.028982,0.987654,0.144,0.1458,0.2392,0.1373,670,748,0.1043,39.675,GOOD,1.0
2020-12-27,P01,S2A_30NXM_20201227_0_L2A,0.025998,0.035719,-0.130551,0.141127,1.091088,0.1665,0.1526,0.2153,0.1384,62,748,0.9171,21.463,LOW_QUALITY,0.64
2021-01-01,P01,S2B_30NXM_20210101_0_L2A,0.037649,0.022704,-0.09941,0.276923,1.084507,0.1232,0.1136,0.1407,0.0655,574,748,0.2326,45.889,GOOD,1.0
2021-01-11,P01,S2B_30NXM_20210111_0_L2A,-0.028794,0.039876,0.065569,0.411904,0.95024,0.1585,0.1668,0.1427,0.06685,28,748,0.9626,38.528,LOW_QUALITY,0.49
2021-01-16,P01,S2A_30NXM_20210116_1_L2A,0.133252,0.033401,-0.162126,0.477481,1.281443,0.27,0.2107,0.3123,0.0748,488,748,0.3476,39.606,GOOD,1.0
2021-01-21,P01,S2B_30NXM_20210121_1_L2A,0.097821,0.027677,-0.216508,0.232551,1.229752,0.2232,0.1815,0.2868,0.1131,576,748,0.2299,30.879,GOOD,1.0
2021-01-26,P01,S2A_30NXM_20210126_1_L2A,0.098152,0.01998,-0.272899,0.040259,1.217815,0.1873,0.1538,0.273,0.14295,748,748,0.0,0.493,GOOD,1.0
2021-01-31,P01,S2B_30NXM_20210131_1_L2A,0.104562,0.027004,-0.207036,0.16738,1.246257,0.2414,0.1937,0.2971,0.1358,98,748,0.869,44.729,LOW_QUALITY,0.64
